source,medium,users,purchasing_users,purchase_rate_pct,total_revenue,arpu,arppu
google,organic,93041,1425,1.5315828505712537,112764.0,1.21198181446889,79.13263157894737
(direct),(none),64109,1006,1.569202452073812,83411.0,1.3010809714704643,82.91351888667992
<Other>,<Other>,47100,678,1.4394904458598727,52098.0,1.1061146496815286,76.84070796460178
<Other>,referral,25256,411,1.6273360785555908,33357.0,1.320755464048147,81.16058394160584
shop.googlemerchandisestore.com,referral,14763,326,2.2082232608548398,28325.0,1.9186479712795503,86.88650306748467
google,cpc,14282,217,1.519395042711105,18242.0,1.2772720907435933,84.06451612903226
<Other>,organic,8701,129,1.482588208251925,10760.0,1.2366394667279623,83.4108527131783
(data deleted),(data deleted),2848,205,7.198033707865169,21771.0,7.644311797752809,106.2
<Other>,(data deleted),52,3,5.769230769230769,109.0,2.0961538461538463,36.333333333333336
google,<Other>,1,0,0.0,0.0,0.0,
(data deleted),referral,1,0,0.0,0.0,0.0,
