cohort_week,weeks_since_first,unique_users
2020-11-02,0,234
2020-11-02,1,6
2020-11-02,2,4
2020-11-02,3,3
2020-11-02,4,1
2020-11-02,5,6
2020-11-02,6,1
2020-11-02,8,2
2020-11-02,9,1
2020-11-09,0,319
2020-11-09,1,8
2020-11-09,2,5
2020-11-09,3,9
2020-11-09,4,8
2020-11-09,5,2
2020-11-09,6,1
2020-11-09,7,2
2020-11-09,11,1
2020-11-16,0,352
2020-11-16,1,4
2020-11-16,2,8
2020-11-16,3,10
2020-11-16,4,3
2020-11-16,5,4
2020-11-16,6,1
2020-11-16,7,1
2020-11-16,8,2
2020-11-16,9,1
2020-11-16,10,2
2020-11-23,0,485
2020-11-23,1,9
2020-11-23,2,13
2020-11-23,3,8
2020-11-23,4,5
2020-11-23,6,1
2020-11-23,8,1
2020-11-23,9,3
2020-11-30,0,546
2020-11-30,1,20
2020-11-30,2,4
2020-11-30,3,5
2020-11-30,4,4
2020-11-30,5,5
2020-11-30,6,2
2020-11-30,7,3
2020-11-30,8,1
2020-12-07,0,680
2020-12-07,1,16
2020-12-07,2,4
2020-12-07,3,3
2020-12-07,4,1
2020-12-07,5,6
2020-12-07,6,3
2020-12-07,7,3
2020-12-14,0,490
2020-12-14,1,9
2020-12-14,2,1
2020-12-14,3,6
2020-12-14,4,2
2020-12-14,5,3
2020-12-14,6,3
2020-12-21,0,202
2020-12-21,1,3
2020-12-21,3,3
2020-12-21,4,1
2020-12-21,5,2
2020-12-28,0,120
2020-12-28,1,1
2020-12-28,2,1
2020-12-28,3,1
2021-01-04,0,145
2021-01-04,1,3
2021-01-04,2,1
2021-01-11,0,205
2021-01-11,1,6
2021-01-11,2,4
2021-01-18,0,347
2021-01-18,1,12
2021-01-25,0,275
