frequency_segment,monetary_segment,users,revenue,user_share_pct,revenue_share_pct
1회,Low,2081,49249.0,47.29545454545455,13.648544910860029
1회,Mid,1623,151815.0,36.88636363636363,42.07301357676735
1회,High,163,46016.0,3.704545454545455,12.752572491180228
1회,VIP,31,22424.0,0.7045454545454546,6.214440315156151
2회,Low,53,1775.0,1.2045454545454546,0.49191186047993973
2회,Mid,226,25687.0,5.136363636363636,7.1187267381116675
2회,High,64,19162.0,1.4545454545454546,5.310431025643157
2회,VIP,11,7756.0,0.25,2.1494469802154437
3회+,Low,10,399.0,0.22727272727272727,0.11057624356703996
3회+,Mid,69,8462.0,1.5681818181818181,2.3451031906373236
3회+,High,56,16959.0,1.2727272727272727,4.6999060517629845
3회+,VIP,13,11133.0,0.29545454545454547,3.0853266156186865
